address,price,link,bed,bath,sqft,type
207-1545 E 2nd Avenue,"$398,000",https://www.rew.ca/properties/R2227910/207-1545-e-2nd-avenue-vancouver-bc,1,1,602,Apt/Condo
772 E 37th Avenue,"$1,580,000",https://www.rew.ca/properties/R2227935/772-e-37th-avenue-vancouver-bc,7,3,2184,House
1207-788 Richards Street,"$800,000",https://www.rew.ca/properties/R2228355/1207-788-richards-street-vancouver-bc,1,1,617,Apt/Condo
28 E 60th Avenue,"$2,388,000",https://www.rew.ca/properties/R2228401/28-e-60th-avenue-vancouver-bc,8,6,2962,House
309-2565 Maple Street,"$1,998,000",https://www.rew.ca/properties/R2228225/309-2565-maple-street-vancouver-bc,3,3,1573,Apt/Condo
2095 W 35th Avenue,"$6,388,900",https://www.rew.ca/properties/R2206749/2095-w-35th-avenue-vancouver-bc,4,5,5827,House
307-1088 Quebec Street,"$1,298,000",https://www.rew.ca/properties/R2228357/307-1088-quebec-street-vancouver-bc,2,2,1244,Apt/Condo
208-1099 E Broadway,"$598,800",https://www.rew.ca/properties/R2228542/208-1099-e-broadway-vancouver-bc,2,1,779,Apt/Condo
4353 Fleming Street,"$1,105,000",https://www.rew.ca/properties/R2228382/4353-fleming-street-vancouver-bc,3,3,1100,Townhouse
227 E 62nd Avenue,"$1,399,500",https://www.rew.ca/properties/R2228475/227-e-62nd-avenue-vancouver-bc,5,2,2124,House
972 W 16th Avenue,"$615,000",https://www.rew.ca/properties/R2228772/972-w-16th-avenue-vancouver-bc,2,1,706,Townhouse
1507-1295 Richards Street,"$650,000",https://www.rew.ca/properties/R2228775/1507-1295-richards-street-vancouver-bc,1,1,550,Apt/Condo
402-5488 Cecil Street,"$529,888",https://www.rew.ca/properties/R2228716/402-5488-cecil-street-vancouver-bc,1,1,654,Apt/Condo
PH5-688 E 17th Avenue,"$669,000",https://www.rew.ca/properties/R2228731/ph5-688-e-17th-avenue-vancouver-bc,2,1,753,Apt/Condo
202-2181 W 12th Avenue,"$1,388,000",https://www.rew.ca/properties/R2228670/202-2181-w-12th-avenue-vancouver-bc,3,2,1237,Apt/Condo
1001-1277 Melville Street,"$1,980,000",https://www.rew.ca/properties/R2228828/1001-1277-melville-street-vancouver-bc,2,2,1335,Apt/Condo
4886 Commercial Street,"$1,565,000",https://www.rew.ca/properties/R2228818/4886-commercial-street-vancouver-bc,4,3,2449,House
208-6555 Victoria Drive,"$449,000",https://www.rew.ca/properties/R2228925/208-6555-victoria-drive-vancouver-bc,1,1,566,Apt/Condo
3210 Clive Avenue,"$2,990,000",https://www.rew.ca/properties/R2229322/3210-clive-avenue-vancouver-bc,0,0,2971,House
105-774 Great Northern Way,"$429,900",https://www.rew.ca/properties/R2229081/105-774-great-northern-way-vancouver-bc,1,1,614,Apt/Condo
PH6-2763 Chandlery Place,"$575,000",https://www.rew.ca/properties/R2227825/ph6-2763-chandlery-place-vancouver-bc,2,2,779,Apt/Condo
5198 Chambers Street,"$859,000",https://www.rew.ca/properties/R2228864/5198-chambers-street-vancouver-bc,2,2,841,Townhouse
3708 W 35th Avenue,"$6,980,000",https://www.rew.ca/properties/R2226315/3708-w-35th-avenue-vancouver-bc,6,7,4035,House
2-815 Chilco Street,"$2,200,000",https://www.rew.ca/properties/R2226668/2-815-chilco-street-vancouver-bc,2,2,2070,Apt/Condo
4006 W 34th Avenue,"$4,980,000",https://www.rew.ca/properties/R2226360/4006-w-34th-avenue-vancouver-bc,6,4,3961,House
1010-3281 E Kent Avenue North,"$850,000",https://www.rew.ca/properties/R2227256/1010-3281-e-kent-avenue-north-vancouver-bc,2,2,951,Apt/Condo
326-2239 Kingsway,"$759,999",https://www.rew.ca/properties/R2226991/326-2239-kingsway-vancouver-bc,2,2,883,Apt/Condo
204-283 Davie Street,"$1,175,000",https://www.rew.ca/properties/R2227109/204-283-davie-street-vancouver-bc,2,2,1258,Apt/Condo
2526 SE Marine Drive,"$1,988,800",https://www.rew.ca/properties/R2227254/2526-se-marine-drive-vancouver-bc,6,6,3344,House
1576 W 47th Avenue,"$4,268,000",https://www.rew.ca/properties/R2227193/1576-w-47th-avenue-vancouver-bc,5,3,4146,House
302-874 W 6th Avenue,"$775,000",https://www.rew.ca/properties/R2227381/302-874-w-6th-avenue-vancouver-bc,2,2,1001,Apt/Condo
3351 Church Street,"$1,588,000",https://www.rew.ca/properties/R2227459/3351-church-street-vancouver-bc,6,3,1769,House
759 E 63rd Avenue,"$1,799,000",https://www.rew.ca/properties/R2227111/759-e-63rd-avenue-vancouver-bc,6,4,2276,House
2765 W 8th Avenue,"$2,499,999",https://www.rew.ca/properties/R2227616/2765-w-8th-avenue-vancouver-bc,5,2,2301,House
1-274 W 62nd Avenue,"$1,699,900",https://www.rew.ca/properties/R2227538/1-274-w-62nd-avenue-vancouver-bc,3,3,1735,Townhouse
906-1570 W 7th Avenue,"$599,000",https://www.rew.ca/properties/R2227721/906-1570-w-7th-avenue-vancouver-bc,1,1,778,Apt/Condo
5039 Payne Street,"$4,188,000",https://www.rew.ca/properties/R2227649/5039-payne-street-vancouver-bc,0,0,0,Land/Lot
105-8772 SW Marine Drive,"$448,000",https://www.rew.ca/properties/R2227779/105-8772-sw-marine-drive-vancouver-bc,1,1,705,Apt/Condo
1901-1328 W Pender Street,"$999,000",https://www.rew.ca/properties/R2225169/1901-1328-w-pender-street-vancouver-bc,2,2,860,Apt/Condo
1702-1082 Seymour Street,"$798,000",https://www.rew.ca/properties/R2225170/1702-1082-seymour-street-vancouver-bc,1,1,708,Apt/Condo
518 Smithe Street,"$1,199,000",https://www.rew.ca/properties/R2225219/518-smithe-street-vancouver-bc,2,2,1161,Townhouse
3750 Welwyn Street,"$1,170,000",https://www.rew.ca/properties/R2225347/3750-welwyn-street-vancouver-bc,2,2,1382,Townhouse
2954 W 14th Avenue,"$2,488,000",https://www.rew.ca/properties/R2225535/2954-w-14th-avenue-vancouver-bc,3,2,2300,House
406-1159 Main Street,"$980,000",https://www.rew.ca/properties/R2225494/406-1159-main-street-vancouver-bc,2,2,1073,Apt/Condo
1184 E 11th Avenue,"$1,479,000",https://www.rew.ca/properties/R2225673/1184-e-11th-avenue-vancouver-bc,3,4,1517,Duplex
3293 W 13th Avenue,"$3,388,000",https://www.rew.ca/properties/R2225507/3293-w-13th-avenue-vancouver-bc,5,5,2966,House
1022 Odlum Drive,"$1,850,000",https://www.rew.ca/properties/R2225697/1022-odlum-drive-vancouver-bc,3,1,2386,House
3587 Mayfair Avenue,"$3,250,000",https://www.rew.ca/properties/R2226034/3587-mayfair-avenue-vancouver-bc,3,2,1807,House
2168 Renfrew Street,"$2,500,000",https://www.rew.ca/properties/R2225976/2168-renfrew-street-vancouver-bc,5,2,1447,House
303-1480 Howe Street,"$650,000",https://www.rew.ca/properties/R2226140/303-1480-howe-street-vancouver-bc,1,1,400,Apt/Condo
130-2390 Mcgill Street,"$600,000",https://www.rew.ca/properties/R2226007/130-2390-mcgill-street-vancouver-bc,1,1,780,Apt/Condo
865 W 60th Avenue,"$3,288,000",https://www.rew.ca/properties/R2226344/865-w-60th-avenue-vancouver-bc,5,6,3051,House
301-1990 W 6th Avenue,"$718,000",https://www.rew.ca/properties/R2226200/301-1990-w-6th-avenue-vancouver-bc,1,1,774,Apt/Condo
3001-438 Seymour Street,"$1,200,000",https://www.rew.ca/properties/R2226042/3001-438-seymour-street-vancouver-bc,2,2,851,Apt/Condo
4691 W 9th Avenue,"$4,780,000",https://www.rew.ca/properties/R2223611/4691-w-9th-avenue-vancouver-bc,5,5,3163,House
PH7-5555 Dunbar Street,"$1,298,000",https://www.rew.ca/properties/R2223681/ph7-5555-dunbar-street-vancouver-bc,3,2,1017,Apt/Condo
4695 W 9th Avenue,"$4,780,000",https://www.rew.ca/properties/R2223613/4695-w-9th-avenue-vancouver-bc,5,5,3227,House
3285 Ontario Street,"$2,888,000",https://www.rew.ca/properties/R2223823/3285-ontario-street-vancouver-bc,6,5,2003,Duplex
201-1985 Alberni Street,"$1,499,800",https://www.rew.ca/properties/R2223772/201-1985-alberni-street-vancouver-bc,2,2,956,Apt/Condo
929 E 57th Avenue,"$1,798,000",https://www.rew.ca/properties/R2223849/929-e-57th-avenue-vancouver-bc,7,4,2300,House
PH3306-8131 Nunavut Lane,"$1,518,000",https://www.rew.ca/properties/R2223331/ph3306-8131-nunavut-lane-vancouver-bc,2,2,1047,Apt/Condo
3960 Nootka Street,"$1,149,900",https://www.rew.ca/properties/R2224044/3960-nootka-street-vancouver-bc,2,2,1628,House
1806-1200 Alberni Street,"$1,098,000",https://www.rew.ca/properties/R2224144/1806-1200-alberni-street-vancouver-bc,2,2,888,Apt/Condo
4172 Salish Drive,"$349,000",https://www.rew.ca/properties/R2224545/4172-salish-drive-vancouver-bc,5,5,4380,House
2515 W 8th Avenue,"$2,058,000",https://www.rew.ca/properties/R2224540/2515-w-8th-avenue-vancouver-bc,3,3,1553,Duplex
301-1978 Vine Street,"$529,900",https://www.rew.ca/properties/R2224832/301-1978-vine-street-vancouver-bc,1,1,608,Apt/Condo
5787 Newton Wynd,"$18,888,000",https://www.rew.ca/properties/R2224004/5787-newton-wynd-vancouver-bc,4,4,4535,House
4143 W 13th Avenue,"$4,288,000",https://www.rew.ca/properties/R2224526/4143-w-13th-avenue-vancouver-bc,5,6,2952,House
2511 W 8th Avenue,"$1,928,000",https://www.rew.ca/properties/R2224534/2511-w-8th-avenue-vancouver-bc,3,3,1427,Duplex
1505 Tolmie Street,"$6,999,000",https://www.rew.ca/properties/R2224856/1505-tolmie-street-vancouver-bc,3,3,2620,House
305 E 40th Avenue,"$1,498,000",https://www.rew.ca/properties/R2225088/305-e-40th-avenue-vancouver-bc,2,1,768,House
303-2226 W 12th Avenue,"$958,000",https://www.rew.ca/properties/R2221762/303-2226-w-12th-avenue-vancouver-bc,2,2,1060,Apt/Condo
