address,price,link,bed,bath,sqft,type,latlng
207-1545 E 2nd Avenue,398000,https://www.rew.ca/properties/R2227910/207-1545-e-2nd-avenue-vancouver-bc,1,1,602,Apt/Condo,
772 E 37th Avenue,1580000,https://www.rew.ca/properties/R2227935/772-e-37th-avenue-vancouver-bc,7,3,2184,House,"(49.2372347, -123.1016318)"
1207-788 Richards Street,800000,https://www.rew.ca/properties/R2228355/1207-788-richards-street-vancouver-bc,1,1,617,Apt/Condo,
28 E 60th Avenue,2388000,https://www.rew.ca/properties/R2228401/28-e-60th-avenue-vancouver-bc,8,6,2962,House,"(49.2157584, -123.0971635)"
309-2565 Maple Street,1998000,https://www.rew.ca/properties/R2228225/309-2565-maple-street-vancouver-bc,3,3,1573,Apt/Condo,
2095 W 35th Avenue,6388900,https://www.rew.ca/properties/R2206749/2095-w-35th-avenue-vancouver-bc,4,5,5827,House,"(49.2399548, -123.1394088)"
307-1088 Quebec Street,1298000,https://www.rew.ca/properties/R2228357/307-1088-quebec-street-vancouver-bc,2,2,1244,Apt/Condo,
208-1099 E Broadway,598800,https://www.rew.ca/properties/R2228542/208-1099-e-broadway-vancouver-bc,2,1,779,Apt/Condo,
4353 Fleming Street,1105000,https://www.rew.ca/properties/R2228382/4353-fleming-street-vancouver-bc,3,3,1100,Townhouse,"(49.2190154, -123.0739745)"
227 E 62nd Avenue,1399500,https://www.rew.ca/properties/R2228475/227-e-62nd-avenue-vancouver-bc,5,2,2124,House,"(49.2137117, -123.0702319)"
972 W 16th Avenue,615000,https://www.rew.ca/properties/R2228772/972-w-16th-avenue-vancouver-bc,2,1,706,Townhouse,"(49.2572555, -123.1507802)"
1507-1295 Richards Street,650000,https://www.rew.ca/properties/R2228775/1507-1295-richards-street-vancouver-bc,1,1,550,Apt/Condo,
402-5488 Cecil Street,529888,https://www.rew.ca/properties/R2228716/402-5488-cecil-street-vancouver-bc,1,1,654,Apt/Condo,
PH5-688 E 17th Avenue,669000,https://www.rew.ca/properties/R2228731/ph5-688-e-17th-avenue-vancouver-bc,2,1,753,Apt/Condo,
202-2181 W 12th Avenue,1388000,https://www.rew.ca/properties/R2228670/202-2181-w-12th-avenue-vancouver-bc,3,2,1237,Apt/Condo,
1001-1277 Melville Street,1980000,https://www.rew.ca/properties/R2228828/1001-1277-melville-street-vancouver-bc,2,2,1335,Apt/Condo,
4886 Commercial Street,1565000,https://www.rew.ca/properties/R2228818/4886-commercial-street-vancouver-bc,4,3,2449,House,"(49.2403907, -123.0676856)"
208-6555 Victoria Drive,449000,https://www.rew.ca/properties/R2228925/208-6555-victoria-drive-vancouver-bc,1,1,566,Apt/Condo,
3210 Clive Avenue,2990000,https://www.rew.ca/properties/R2229322/3210-clive-avenue-vancouver-bc,0,0,2971,House,"(49.2390034, -123.035104)"
105-774 Great Northern Way,429900,https://www.rew.ca/properties/R2229081/105-774-great-northern-way-vancouver-bc,1,1,614,Apt/Condo,
PH6-2763 Chandlery Place,575000,https://www.rew.ca/properties/R2227825/ph6-2763-chandlery-place-vancouver-bc,2,2,779,Apt/Condo,
5198 Chambers Street,859000,https://www.rew.ca/properties/R2228864/5198-chambers-street-vancouver-bc,2,2,841,Townhouse,"(49.2373727, -123.0530025)"
3708 W 35th Avenue,6980000,https://www.rew.ca/properties/R2226315/3708-w-35th-avenue-vancouver-bc,6,7,4035,House,"(49.2399548, -123.1394088)"
2-815 Chilco Street,2200000,https://www.rew.ca/properties/R2226668/2-815-chilco-street-vancouver-bc,2,2,2070,Apt/Condo,"(49.2937323, -123.1378571)"
4006 W 34th Avenue,4980000,https://www.rew.ca/properties/R2226360/4006-w-34th-avenue-vancouver-bc,6,4,3961,House,"(49.2411999, -123.1556669)"
1010-3281 E Kent Avenue North,850000,https://www.rew.ca/properties/R2227256/1010-3281-e-kent-avenue-north-vancouver-bc,2,2,951,Apt/Condo,
326-2239 Kingsway,759999,https://www.rew.ca/properties/R2226991/326-2239-kingsway-vancouver-bc,2,2,883,Apt/Condo,
204-283 Davie Street,1175000,https://www.rew.ca/properties/R2227109/204-283-davie-street-vancouver-bc,2,2,1258,Apt/Condo,
2526 SE Marine Drive,1988800,https://www.rew.ca/properties/R2227254/2526-se-marine-drive-vancouver-bc,6,6,3344,House,"(49.2109937, -123.0752063)"
1576 W 47th Avenue,4268000,https://www.rew.ca/properties/R2227193/1576-w-47th-avenue-vancouver-bc,5,3,4146,House,"(49.229064, -123.1601394)"
302-874 W 6th Avenue,775000,https://www.rew.ca/properties/R2227381/302-874-w-6th-avenue-vancouver-bc,2,2,1001,Apt/Condo,
3351 Church Street,1588000,https://www.rew.ca/properties/R2227459/3351-church-street-vancouver-bc,6,3,1769,House,"(49.2336028, -123.0323052)"
759 E 63rd Avenue,1799000,https://www.rew.ca/properties/R2227111/759-e-63rd-avenue-vancouver-bc,6,4,2276,House,"(49.2130079, -123.0910906)"
