address,price,link,subarea,bed,bath,sqft,type,Property Age,Gross Taxes for 2017,Strata Maintenance Fees,Area,Sub-Area/Community,Property Type,Title,Listing ID,Primary Agent,Primary Broker,Features,Amenities
212-168 Powell Street,625000,https://www.rew.ca/properties/R2216763/212-168-powell-street-vancouver-bc,Downtown East ,1,1,755,Apt/Condo,Built in 2009 (9 yrs old),"$1,270",$292,Vancouver East,Downtown East,Apt/Condo,Freehold Strata,R2216763,,Sutton Grp West Coast (Van49),"ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Drapes/Window Coverings, Garage Door Opener, Intercom","Bike Room, Elevator, Exercise Centre, Garden, In Suite Laundry, Wheelchair Access"
230 Peveril Avenue,3588000,https://www.rew.ca/properties/R2215703/230-peveril-avenue-vancouver-bc,Cambie ,3,1,2181,House,Built in 1942 (76 yrs old),"$8,719",,Vancouver West,Cambie,House,Freehold NonStrata,R2215703,,RE/MAX Select Properties,"Clothes Washer/Dryer, Range Top, Refrigerator",
901-4083 Cambie Street,1788000,https://www.rew.ca/properties/R2220129/901-4083-cambie-street-vancouver-bc,Cambie ,3,2,1280,Apt/Condo,Built in 2017 (1 yrs old),$0,$446,Vancouver West,Cambie,Apt/Condo,Freehold Strata,R2220129,,Sutton Grp West Coast (Van49),"Air Conditioning, Clothes Dryer, Clothes Washer, Dishwasher, Microwave, Refrigerator, Stove","Air Cond./Central, Bike Room, Club House, Exercise Centre, In Suite Laundry, Storage"
420 W 20th Avenue,2398000,https://www.rew.ca/properties/R2217814/420-w-20th-avenue-vancouver-bc,Cambie ,4,1,2258,House,Built in 1929 (89 yrs old),"$7,157",,Vancouver West,Cambie,House,Freehold NonStrata,R2217814,,RE/MAX Real Estate Services,,
110-2390 Mcgill Street,600000,https://www.rew.ca/properties/R2226241/110-2390-mcgill-street-vancouver-bc,Vancouver East All ,1,1,780,Apt/Condo,Built in 1981 (37 yrs old),$771,$374,Vancouver East,Hastings,Apt/Condo,Freehold Strata,R2226241,,Sutton Grp West Coast Realty,ClthWsh/Dryr/Frdg/Stve/DW,"In Suite Laundry, Storage"
6976 Wiltshire Street,10888000,https://www.rew.ca/properties/R2219091/6976-wiltshire-street-vancouver-bc,South Granville ,6,7,6338,House,Built in 2015 (3 yrs old),"$19,286",,Vancouver West,South Granville,House,Freehold NonStrata,R2219091,,Faith Wilson Group,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Microwave, Oven-Built In, Vaulted Ceiling",
1947 W 19th Avenue,8398000,https://www.rew.ca/properties/R2218269/1947-w-19th-avenue-vancouver-bc,Shaughnessy ,5,4,5603,House,Built in 9999 (-7981 yrs old),"$17,599",,Vancouver West,Shaughnessy,House,Freehold NonStrata,R2218269,,Nu Stream Realty Inc.,ClthWsh/Dryr/Frdg/Stve/DW,"Garden, Storage"
1122 W 27th Avenue,5180000,https://www.rew.ca/properties/R2219102/1122-w-27th-avenue-vancouver-bc,Shaughnessy ,5,4,3368,House,Built in 1925 (93 yrs old),"$12,716",,Vancouver West,Shaughnessy,House,Freehold NonStrata,R2219102,,Coldwell Banker Westburn Rlty.,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Jetted Bathtub, Oven-Built In, Range Top, Vaulted Ceiling",
4768 Osler Street,7380000,https://www.rew.ca/properties/R2219151/4768-osler-street-vancouver-bc,Shaughnessy ,5,6,3856,House,Built in 2017 (1 yrs old),"$9,859",,Vancouver West,Shaughnessy,House,Freehold NonStrata,R2219151,,New Coast Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Vacuum R.I.",
501-4900 Cartier Street,2399000,https://www.rew.ca/properties/R2219738/501-4900-cartier-street-vancouver-bc,Shaughnessy ,2,2,2115,Apt/Condo,Built in 1976 (42 yrs old),"$5,105","$1,339",Vancouver West,Shaughnessy,Apt/Condo,Freehold Strata,R2219738,,Macdonald Realty,"Clothes Washer, Dishwasher, Refrigerator, Stove","Club House, Elevator, Garden, In Suite Laundry, Pool; Outdoor, Storage"
4843 Paton Street,5180000,https://www.rew.ca/properties/R2130713/4843-paton-street-vancouver-bc,Quilchena ,4,3,3600,House,Built in 1957 (61 yrs old),,,Vancouver West,Quilchena,House,Freehold NonStrata,R2130713,,New Coast Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Microwave",
4922 Angus Drive,5988000,https://www.rew.ca/properties/R2176185/4922-angus-drive-vancouver-bc,Quilchena ,5,5,3652,House,Built in 2008 (10 yrs old),"$14,940",,Vancouver West,Quilchena,House,Freehold NonStrata,R2176185,,Sutton Grp West Coast (Van49),"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Microwave, Oven-Built In, Security System, Smoke Alarm, Sprinkler - Fire","Garden, Guest Suite, Recreation Center"
