address,price,link,bed,bath,sqft,age,gross_taxes_2017,strata_maintenance_fees,area,sub_area,property_type,strata_type,listing_id,primary_broker,features,amenities,school_info,latlng
405-12 Athletes Way,999000,https://www.rew.ca/properties/R2219336/405-12-athletes-way-vancouver-bc,2,1,884,8.0,2153.0,516.0,Vancouver West,False Creek,Apt/Condo,Freehold Strata,R2219336,Team 3000 Realty Ltd.,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Microwave","Club House, Elevator, Exercise Centre, Garden, In Suite Laundry, Pool; Indoor","[{'name': 'Simon Fraser Elementary School', 'address': '100 15th Ave W, Vancouver', 'latitude': 49.2571727, 'longitude': -123.1083818, 'grades': 'K - 7', 'category': 'Public', 'distance': '1.6 km'}, {'name': 'Eric Hamber Secondary School', 'address': '5025 Willow St, Vancouver', 'latitude': 49.239677, 'longitude': -123.1246002, 'grades': '8 - 12', 'category': 'Public', 'distance': '3.8 km'}, {'name': 'St Francis Xavier School', 'address': '428 Great Northern Way, Vancouver', 'latitude': 49.267931, 'longitude': -123.0947323, 'grades': 'K - 7', 'category': 'Independent', 'distance': '0.8 km'}, {'name': 'The Westside School', 'address': '788 Beatty St, Vancouver', 'latitude': 49.2775706, 'longitude': -123.1134435, 'grades': 'K - 9', 'category': 'Independent', 'distance': '0.9 km'}, {'name': ""St John's International School"", 'address': '395 Broadway W, Vancouver', 'latitude': 49.2633508, 'longitude': -123.1125357, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.1 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.1 km'}, {'name': 'St Patrick Regional Secondary School', 'address': '115 11th Ave E, Vancouver', 'latitude': 49.2611369, 'longitude': -123.1028471, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.2 km'}, {'name': ""St Patrick's Elementary School"", 'address': '2850 Quebec St, Vancouver', 'latitude': 49.2597724, 'longitude': -123.1029196, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.3 km'}, {'name': 'Sino Bright School BC', 'address': '300-328 Water St, Vancouver', 'latitude': 49.2843337, 'longitude': -123.108896, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.5 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.5 km'}]","(49.271554, -123.106738)"
604-1661 Ontario Street,1398000,https://www.rew.ca/properties/R2221859/604-1661-ontario-street-vancouver-bc,2,2,1189,9.0,2721.0,679.0,Vancouver West,False Creek,Apt/Condo,Freehold Strata,R2221859,Trg The Residential Group Rlty,"ClthWsh/Dryr/Frdg/Stve/DW, Microwave","Bike Room, Exercise Centre, In Suite Laundry, Pool; Indoor, Recreation Center, Storage","[{'name': 'Simon Fraser Elementary School', 'address': '100 15th Ave W, Vancouver', 'latitude': 49.2571727, 'longitude': -123.1083818, 'grades': 'K - 7', 'category': 'Public', 'distance': '1.5 km'}, {'name': 'Eric Hamber Secondary School', 'address': '5025 Willow St, Vancouver', 'latitude': 49.239677, 'longitude': -123.1246002, 'grades': '8 - 12', 'category': 'Public', 'distance': '3.7 km'}, {'name': 'St Francis Xavier School', 'address': '428 Great Northern Way, Vancouver', 'latitude': 49.267931, 'longitude': -123.0947323, 'grades': 'K - 7', 'category': 'Independent', 'distance': '0.8 km'}, {'name': ""St John's International School"", 'address': '395 Broadway W, Vancouver', 'latitude': 49.2633508, 'longitude': -123.1125357, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.0 km'}, {'name': 'The Westside School', 'address': '788 Beatty St, Vancouver', 'latitude': 49.2775706, 'longitude': -123.1134435, 'grades': 'K - 9', 'category': 'Independent', 'distance': '1.0 km'}, {'name': 'St Patrick Regional Secondary School', 'address': '115 11th Ave E, Vancouver', 'latitude': 49.2611369, 'longitude': -123.1028471, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.1 km'}, {'name': ""St Patrick's Elementary School"", 'address': '2850 Quebec St, Vancouver', 'latitude': 49.2597724, 'longitude': -123.1029196, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.2 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.2 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.6 km'}, {'name': 'Sino Bright School BC', 'address': '300-328 Water St, Vancouver', 'latitude': 49.2843337, 'longitude': -123.108896, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.6 km'}]",MISSING
204-1529 W 6th Avenue,699000,https://www.rew.ca/properties/R2220891/204-1529-w-6th-avenue-vancouver-bc,0,1,719,21.0,1456.0,361.0,Vancouver West,False Creek,Apt/Condo,Freehold Strata,R2220891,Macdonald Realty,"Dishwasher, Garage Door Opener","Elevator, Restaurant, Storage, Wheelchair Access","[{'name': 'Henry Hudson Elementary School', 'address': '1551 Cypress St, Vancouver', 'latitude': 49.2720412, 'longitude': -123.1483903, 'grades': 'K - 7', 'category': 'Public', 'distance': '0.9 km'}, {'name': 'Kitsilano Secondary School', 'address': '2706 Trafalgar St, Vancouver', 'latitude': 49.262206, 'longitude': -123.164308, 'grades': '8 - 12', 'category': 'Public', 'distance': '1.9 km'}, {'name': 'Century High School', 'address': '1788 Broadway W Unit 200, Vancouver', 'latitude': 49.2634169, 'longitude': -123.1453266, 'grades': '10 - 12', 'category': 'Independent', 'distance': '0.5 km'}, {'name': 'Madrona Primary and Junior School', 'address': '2040 West 10th Ave, Vancouver', 'latitude': 49.2627349, 'longitude': -123.1517134, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.0 km'}, {'name': ""St Augustine's School"", 'address': '2154 7th Ave W, Vancouver', 'latitude': 49.2656318, 'longitude': -123.1545717, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.1 km'}, {'name': ""St John's School"", 'address': '2215 10th Ave W, Vancouver', 'latitude': 49.2629098, 'longitude': -123.1554509, 'grades': 'K - 12', 'category': 'Independent', 'distance': '1.2 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.3 km'}, {'name': 'Fraser Academy', 'address': '2294 10th Ave W, Vancouver', 'latitude': 49.2626607, 'longitude': -123.157276, 'grades': '2 - 12', 'category': 'Independent', 'distance': '1.4 km'}, {'name': 'Blessed Sacrament School', 'address': '3020 Heather St, Vancouver', 'latitude': 49.2583379, 'longitude': -123.1193909, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.7 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '1.9 km'}]",MISSING
106-1551 Mariner Walk,929000,https://www.rew.ca/properties/R2222093/106-1551-mariner-walk-vancouver-bc,2,2,1094,29.0,1983.0,493.0,Vancouver West,False Creek,Apt/Condo,Leasehold prepaid-Strata,R2222093,Engel & Volkers Vancouver,"ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Drapes/Window Coverings","Elevator, Garden, In Suite Laundry, Storage","[{'name': 'Henry Hudson Elementary School', 'address': '1551 Cypress St, Vancouver', 'latitude': 49.2720412, 'longitude': -123.1483903, 'grades': 'K - 7', 'category': 'Public', 'distance': '0.7 km'}, {'name': 'Kitsilano Secondary School', 'address': '2706 Trafalgar St, Vancouver', 'latitude': 49.262206, 'longitude': -123.164308, 'grades': '8 - 12', 'category': 'Public', 'distance': '2.1 km'}, {'name': 'Century High School', 'address': '1788 Broadway W Unit 200, Vancouver', 'latitude': 49.2634169, 'longitude': -123.1453266, 'grades': '10 - 12', 'category': 'Independent', 'distance': '0.9 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '0.9 km'}, {'name': ""St Augustine's School"", 'address': '2154 7th Ave W, Vancouver', 'latitude': 49.2656318, 'longitude': -123.1545717, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.3 km'}, {'name': 'Madrona Primary and Junior School', 'address': '2040 West 10th Ave, Vancouver', 'latitude': 49.2627349, 'longitude': -123.1517134, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.3 km'}, {'name': ""St John's School"", 'address': '2215 10th Ave W, Vancouver', 'latitude': 49.2629098, 'longitude': -123.1554509, 'grades': 'K - 12', 'category': 'Independent', 'distance': '1.5 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '1.5 km'}, {'name': 'Fraser Academy', 'address': '2294 10th Ave W, Vancouver', 'latitude': 49.2626607, 'longitude': -123.157276, 'grades': '2 - 12', 'category': 'Independent', 'distance': '1.6 km'}, {'name': 'Blessed Sacrament School', 'address': '3020 Heather St, Vancouver', 'latitude': 49.2583379, 'longitude': -123.1193909, 'grades': 'K - 7', 'category': 'Independent', 'distance': '2.0 km'}]",MISSING
1103-1783 Manitoba Street,859000,https://www.rew.ca/properties/R2222252/1103-1783-manitoba-street-vancouver-bc,2,1,714,3.0,2018.0,361.0,Vancouver West,False Creek,Apt/Condo,Freehold Strata,R2222252,Sutton Grp West Coast (Brdwy),"ClthWsh/Dryr/Frdg/Stve/DW, Disposal - Waste, Drapes/Window Coverings, Microwave, Security - RI, Smoke Alarm, Sprinkler - Fire, Windows - Thermo","Bike Room, Club House, Elevator, Exercise Centre, In Suite Laundry","[{'name': 'Simon Fraser Elementary School', 'address': '100 15th Ave W, Vancouver', 'latitude': 49.2571727, 'longitude': -123.1083818, 'grades': 'K - 7', 'category': 'Public', 'distance': '1.4 km'}, {'name': 'Eric Hamber Secondary School', 'address': '5025 Willow St, Vancouver', 'latitude': 49.239677, 'longitude': -123.1246002, 'grades': '8 - 12', 'category': 'Public', 'distance': '3.6 km'}, {'name': ""St John's International School"", 'address': '395 Broadway W, Vancouver', 'latitude': 49.2633508, 'longitude': -123.1125357, 'grades': '10 - 12', 'category': 'Independent', 'distance': '0.8 km'}, {'name': 'St Francis Xavier School', 'address': '428 Great Northern Way, Vancouver', 'latitude': 49.267931, 'longitude': -123.0947323, 'grades': 'K - 7', 'category': 'Independent', 'distance': '0.9 km'}, {'name': 'St Patrick Regional Secondary School', 'address': '115 11th Ave E, Vancouver', 'latitude': 49.2611369, 'longitude': -123.1028471, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.0 km'}, {'name': 'The Westside School', 'address': '788 Beatty St, Vancouver', 'latitude': 49.2775706, 'longitude': -123.1134435, 'grades': 'K - 9', 'category': 'Independent', 'distance': '1.0 km'}, {'name': ""St Patrick's Elementary School"", 'address': '2850 Quebec St, Vancouver', 'latitude': 49.2597724, 'longitude': -123.1029196, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.1 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.2 km'}, {'name': 'Blessed Sacrament School', 'address': '3020 Heather St, Vancouver', 'latitude': 49.2583379, 'longitude': -123.1193909, 'grades': 'K - 7', 'category': 'Independent', 'distance': '1.5 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.6 km'}]",MISSING
1702-1082 Seymour Street,798000,https://www.rew.ca/properties/R2225170/1702-1082-seymour-street-vancouver-bc,1,1,708,12.0,1786.0,343.0,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,R2225170,Prompton Real Estate Serv.Inc.,"ClthWsh/Dryr/Frdg/Stve/DW, Garage Door Opener, Sprinkler - Fire","Bike Room, Elevator, Exercise Centre, In Suite Laundry","[{'name': 'Crosstown Elementary School', 'address': '55 Expo Blvd, Vancouver', 'latitude': 49.2776758, 'longitude': -123.1038363, 'grades': 'K - 7', 'category': 'Public', 'distance': '1.4 km'}, {'name': 'King George Secondary School', 'address': '1755 Barclay St, Vancouver', 'latitude': 49.289913, 'longitude': -123.1360738, 'grades': '8 - 12', 'category': 'Public', 'distance': '1.7 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '0.4 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '0.5 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '0.6 km'}, {'name': 'The Westside School', 'address': '788 Beatty St, Vancouver', 'latitude': 49.2775706, 'longitude': -123.1134435, 'grades': 'K - 9', 'category': 'Independent', 'distance': '0.7 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '0.8 km'}, {'name': 'Madrona Senior School', 'address': '530 Hornby St, Vancouver', 'latitude': 49.2853201, 'longitude': -123.1172055, 'grades': '8 - 10', 'category': 'Independent', 'distance': '1.0 km'}, {'name': 'Alexander Academy', 'address': '688 Hastings St W Suite 200, Vancouver', 'latitude': 49.2847894, 'longitude': -123.1136766, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.0 km'}, {'name': 'Sino Bright School BC', 'address': '300-328 Water St, Vancouver', 'latitude': 49.2843337, 'longitude': -123.108896, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.3 km'}]",MISSING
1502-488 Helmcken Street,649900,https://www.rew.ca/properties/R2229014/1502-488-helmcken-street-vancouver-bc,2,2,712,23.0,1408.0,380.0,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2229014,Metro Edge Realty,ClthWsh/Dryr/Frdg/Stve/DW,"Exercise Centre, Sauna/Steam Room","[{'name': 'Crosstown Elementary School', 'address': '55 Expo Blvd, Vancouver', 'latitude': 49.2776758, 'longitude': -123.1038363, 'grades': 'K - 7', 'category': 'Public', 'distance': '1.4 km'}, {'name': 'King George Secondary School', 'address': '1755 Barclay St, Vancouver', 'latitude': 49.289913, 'longitude': -123.1360738, 'grades': '8 - 12', 'category': 'Public', 'distance': '1.8 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '0.5 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '0.6 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '0.6 km'}, {'name': 'The Westside School', 'address': '788 Beatty St, Vancouver', 'latitude': 49.2775706, 'longitude': -123.1134435, 'grades': 'K - 9', 'category': 'Independent', 'distance': '0.7 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '0.9 km'}, {'name': 'Madrona Senior School', 'address': '530 Hornby St, Vancouver', 'latitude': 49.2853201, 'longitude': -123.1172055, 'grades': '8 - 10', 'category': 'Independent', 'distance': '1.0 km'}, {'name': 'Alexander Academy', 'address': '688 Hastings St W Suite 200, Vancouver', 'latitude': 49.2847894, 'longitude': -123.1136766, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.1 km'}, {'name': 'Sino Bright School BC', 'address': '300-328 Water St, Vancouver', 'latitude': 49.2843337, 'longitude': -123.108896, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.3 km'}]",MISSING
2806-1408 Strathmore Mews,969000,https://www.rew.ca/properties/R2228734/2806-1408-strathmore-mews-vancouver-bc,1,1,725,15.0,1708.0,294.0,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2228734,Century 21 In Town Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Garage Door Opener, Microwave, Smoke Alarm, Windows - Thermo","Bike Room, In Suite Laundry, Pool; Indoor, Recreation Center, Sauna/Steam Room, Swirlpool/Hot Tub","[{'name': 'Elsie Roy Elementary School', 'address': '150 Drake St, Vancouver', 'latitude': 49.2724237, 'longitude': -123.1223351, 'grades': 'K - 7', 'category': 'Public', 'distance': '0.3 km'}, {'name': 'King George Secondary School', 'address': '1755 Barclay St, Vancouver', 'latitude': 49.289913, 'longitude': -123.1360738, 'grades': '8 - 12', 'category': 'Public', 'distance': '2.0 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '0.6 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '0.9 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.1 km'}, {'name': 'The Westside School', 'address': '788 Beatty St, Vancouver', 'latitude': 49.2775706, 'longitude': -123.1134435, 'grades': 'K - 9', 'category': 'Independent', 'distance': '1.1 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.4 km'}, {'name': ""St John's International School"", 'address': '395 Broadway W, Vancouver', 'latitude': 49.2633508, 'longitude': -123.1125357, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.5 km'}, {'name': 'Madrona Senior School', 'address': '530 Hornby St, Vancouver', 'latitude': 49.2853201, 'longitude': -123.1172055, 'grades': '8 - 10', 'category': 'Independent', 'distance': '1.6 km'}, {'name': 'Alexander Academy', 'address': '688 Hastings St W Suite 200, Vancouver', 'latitude': 49.2847894, 'longitude': -123.1136766, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.6 km'}]",MISSING
2301-1201 Marinaside Crescent,1488000,https://www.rew.ca/properties/R2229053/2301-1201-marinaside-crescent-vancouver-bc,2,2,970,21.0,2273.0,436.0,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2229053,RE/MAX Crest Realty,"ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Smoke Alarm, Sprinkler - Fire","Elevator, Exercise Centre, In Suite Laundry, Pool; Indoor, Sauna/Steam Room, Wheelchair Access","[{'name': 'Elsie Roy Elementary School', 'address': '150 Drake St, Vancouver', 'latitude': 49.2724237, 'longitude': -123.1223351, 'grades': 'K - 7', 'category': 'Public', 'distance': '0.2 km'}, {'name': 'King George Secondary School', 'address': '1755 Barclay St, Vancouver', 'latitude': 49.289913, 'longitude': -123.1360738, 'grades': '8 - 12', 'category': 'Public', 'distance': '2.2 km'}, {'name': 'The Westside School', 'address': '788 Beatty St, Vancouver', 'latitude': 49.2775706, 'longitude': -123.1134435, 'grades': 'K - 9', 'category': 'Independent', 'distance': '0.7 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '0.8 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '0.9 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '0.9 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.1 km'}, {'name': ""St John's International School"", 'address': '395 Broadway W, Vancouver', 'latitude': 49.2633508, 'longitude': -123.1125357, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.2 km'}, {'name': 'Madrona Senior School', 'address': '530 Hornby St, Vancouver', 'latitude': 49.2853201, 'longitude': -123.1172055, 'grades': '8 - 10', 'category': 'Independent', 'distance': '1.4 km'}, {'name': 'Alexander Academy', 'address': '688 Hastings St W Suite 200, Vancouver', 'latitude': 49.2847894, 'longitude': -123.1136766, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.4 km'}]",MISSING
3106-1480 Howe Street,920000,https://www.rew.ca/properties/R2229220/3106-1480-howe-street-vancouver-bc,1,1,499,0.0,0.0,286.0,Vancouver West,Yaletown,Apt/Condo,Freehold Strata,R2229220,Oakwyn Realty Downtown Ltd.,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings","Air Cond./Central, Exercise Centre, Pool; Outdoor","[{'name': 'Elsie Roy Elementary School', 'address': '150 Drake St, Vancouver', 'latitude': 49.2724237, 'longitude': -123.1223351, 'grades': 'K - 7', 'category': 'Public', 'distance': '0.7 km'}, {'name': 'King George Secondary School', 'address': '1755 Barclay St, Vancouver', 'latitude': 49.289913, 'longitude': -123.1360738, 'grades': '8 - 12', 'category': 'Public', 'distance': '1.7 km'}, {'name': 'Anchor Point Montessori School', 'address': '1351 Hornby St, Vancouver', 'latitude': 49.2769796, 'longitude': -123.130623, 'grades': 'K - 7', 'category': 'Independent', 'distance': '0.2 km'}, {'name': 'Pattison School', 'address': '981 Nelson St, Vancouver', 'latitude': 49.28081, 'longitude': -123.124916, 'grades': '9 - 12', 'category': 'Independent', 'distance': '0.8 km'}, {'name': 'Lowell High School', 'address': '210-750 Hamilton St, Vancouver', 'latitude': 49.2790958, 'longitude': -123.1151671, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.2 km'}, {'name': 'The Westside School', 'address': '788 Beatty St, Vancouver', 'latitude': 49.2775706, 'longitude': -123.1134435, 'grades': 'K - 9', 'category': 'Independent', 'distance': '1.3 km'}, {'name': 'Columbia Academy', 'address': '4th Floor-570 Dunsmuir St, Vancouver', 'latitude': 49.2827046, 'longitude': -123.1153569, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.4 km'}, {'name': 'Madrona Senior School', 'address': '530 Hornby St, Vancouver', 'latitude': 49.2853201, 'longitude': -123.1172055, 'grades': '8 - 10', 'category': 'Independent', 'distance': '1.5 km'}, {'name': 'Century High School', 'address': '1788 Broadway W Unit 200, Vancouver', 'latitude': 49.2634169, 'longitude': -123.1453266, 'grades': '10 - 12', 'category': 'Independent', 'distance': '1.6 km'}, {'name': 'Alexander Academy', 'address': '688 Hastings St W Suite 200, Vancouver', 'latitude': 49.2847894, 'longitude': -123.1136766, 'grades': '8 - 12', 'category': 'Independent', 'distance': '1.7 km'}]",MISSING
